[Profile Gen 015] fitness=1.923s | selection=0.000s | repro=1.230s (crossover=0.269s, mutation=0.960s) | calls: crossover~100, mutation~70.0
               fitness_breakdown: ordering=0.166s | prefix=0.090s | score=0.009s | pop=100 

[Gen:016/100] Fitness(norm) : (best=100.0000, avg=2.8040, worst=0.0000) | Coverage(best)=90.49% (target=90.00%) | Numb of sensors : (min=22, avg=44.4, max=47) | BestSensors=22 (corner=8)
[Profile Gen 016] fitness=2.010s | selection=0.000s | repro=1.320s (crossover=0.263s, mutation=1.056s) | calls: crossover~100, mutation~70.0
               fitness_breakdown: ordering=0.161s | prefix=0.091s | score=0.009s | pop=100 

[Gen:017/100] Fitness(norm) : (best=100.0000, avg=2.8120, worst=0.0000) | Coverage(best)=90.49% (target=90.00%) | Numb of sensors : (min=22, avg=44.2, max=47) | BestSensors=22 (corner=8)
[Profile Gen 017] fitness=1.872s | selection=0.000s | repro=1.190s (crossover=0.264s, mutation=0.925s) | calls: crossover~100, mutation~70.0
               fitness_breakdown: ordering=0.160s | prefix=0.090s | score=0.009s | pop=100 

[Gen:018/100] Fitness(norm) : (best=100.0000, avg=2.8042, worst=0.0000) | Coverage(best)=90.49% (target=90.00%) | Numb of sensors : (min=22, avg=43.9, max=46) | BestSensors=22 (corner=8)
[Profile Gen 018] fitness=1.989s | selection=0.000s | repro=1.286s (crossover=0.242s, mutation=1.044s) | calls: crossover~100, mutation~70.0
               fitness_breakdown: ordering=0.161s | prefix=0.091s | score=0.009s | pop=100 

[Gen:019/100] Fitness(norm) : (best=100.0000, avg=1.9080, worst=0.0000) | Coverage(best)=90.49% (target=90.00%) | Numb of sensors : (min=22, avg=43.8, max=47) | BestSensors=22 (corner=8)
[Profile Gen 019] fitness=1.881s | selection=0.000s | repro=1.135s (crossover=0.252s, mutation=0.882s) | calls: crossover~100, mutation~70.0
               fitness_breakdown: ordering=0.160s | prefix=0.090s | score=0.009s | pop=100 

[Gen:020/100] Fitness(norm) : (best=100.0000, avg=2.8120, worst=0.0000) | Coverage(best)=90.49% (target=90.00%) | Numb of sensors : (min=22, avg=43.6, max=47) | BestSensors=22 (corner=8)
[Profile Gen 020] fitness=1.971s | selection=0.000s | repro=1.144s (crossover=0.223s, mutation=0.920s) | calls: crossover~100, mutation~70.0
               fitness_breakdown: ordering=0.160s | prefix=0.090s | score=0.009s | pop=100 

[Gen:021/100] Fitness(norm) : (best=100.0000, avg=2.8083, worst=0.0000) | Coverage(best)=90.49% (target=90.00%) | Numb of sensors : (min=22, avg=43.5, max=46) | BestSensors=22 (corner=8)
[Profile Gen 021] fitness=1.836s | selection=0.000s | repro=0.963s (crossover=0.229s, mutation=0.734s) | calls: crossover~100, mutation~70.0
               fitness_breakdown: ordering=0.160s | prefix=0.090s | score=0.009s | pop=100 

[Gen:022/100] Fitness(norm) : (best=100.0000, avg=1.9042, worst=0.0000) | Coverage(best)=90.49% (target=90.00%) | Numb of sensors : (min=22, avg=43.4, max=46) | BestSensors=22 (corner=8)
[Profile Gen 022] fitness=1.966s | selection=0.000s | repro=1.115s (crossover=0.237s, mutation=0.877s) | calls: crossover~100, mutation~70.0
               fitness_breakdown: ordering=0.160s | prefix=0.090s | score=0.009s | pop=100 

[Gen:023/100] Fitness(norm) : (best=100.0000, avg=1.9042, worst=0.0000) | Coverage(best)=90.49% (target=90.00%) | Numb of sensors : (min=22, avg=43.2, max=46) | BestSensors=22 (corner=8)
[Profile Gen 023] fitness=1.930s | selection=0.000s | repro=1.197s (crossover=0.233s, mutation=0.963s) | calls: crossover~100, mutation~70.0
               fitness_breakdown: ordering=0.153s | prefix=0.064s | score=0.007s | pop=100 

[Gen:024/100] Fitness(norm) : (best=100.0000, avg=1.9042, worst=0.0000) | Coverage(best)=90.49% (target=90.00%) | Numb of sensors : (min=22, avg=43.2, max=46) | BestSensors=22 (corner=8)
[Profile Gen 024] fitness=1.864s | selection=0.000s | repro=1.044s (crossover=0.198s, mutation=0.846s) | calls: crossover~100, mutation~70.0
               fitness_breakdown: ordering=0.159s | prefix=0.089s | score=0.009s | pop=100 

[Gen:025/100] Fitness(norm) : (best=100.0000, avg=1.9042, worst=0.0000) | Coverage(best)=90.49% (target=90.00%) | Numb of sensors : (min=22, avg=43.0, max=46) | BestSensors=22 (corner=8)
[Profile Gen 025] fitness=1.953s | selection=0.000s | repro=1.062s (crossover=0.202s, mutation=0.859s) | calls: crossover~100, mutation~70.0
               fitness_breakdown: ordering=0.160s | prefix=0.090s | score=0.009s | pop=100 

[Gen:026/100] Fitness(norm) : (best=100.0000, avg=1.9042, worst=0.0000) | Coverage(best)=90.49% (target=90.00%) | Numb of sensors : (min=22, avg=42.6, max=46) | BestSensors=22 (corner=8)
[Profile Gen 026] fitness=1.937s | selection=0.000s | repro=1.100s (crossover=0.186s, mutation=0.914s) | calls: crossover~100, mutation~70.0
               fitness_breakdown: ordering=0.161s | prefix=0.091s | score=0.009s | pop=100 

[Gen:027/100] Fitness(norm) : (best=100.0000, avg=1.9000, worst=0.0000) | Coverage(best)=90.49% (target=90.00%) | Numb of sensors : (min=22, avg=42.2, max=45) | BestSensors=22 (corner=8)
[Profile Gen 027] fitness=1.789s | selection=0.000s | repro=0.813s (crossover=0.223s, mutation=0.589s) | calls: crossover~100, mutation~70.0
               fitness_breakdown: ordering=0.160s | prefix=0.090s | score=0.009s | pop=100 

[Gen:028/100] Fitness(norm) : (best=100.0000, avg=1.9000, worst=0.0000) | Coverage(best)=90.49% (target=90.00%) | Numb of sensors : (min=22, avg=41.7, max=45) | BestSensors=22 (corner=8)
[Profile Gen 028] fitness=1.836s | selection=0.000s | repro=1.110s (crossover=0.212s, mutation=0.897s) | calls: crossover~100, mutation~70.0
               fitness_breakdown: ordering=0.160s | prefix=0.090s | score=0.009s | pop=100 

[Gen:029/100] Fitness(norm) : (best=100.0000, avg=1.9000, worst=0.0000) | Coverage(best)=90.49% (target=90.00%) | Numb of sensors : (min=22, avg=41.7, max=45) | BestSensors=22 (corner=8)
[Profile Gen 029] fitness=1.902s | selection=0.000s | repro=1.202s (crossover=0.216s, mutation=0.985s) | calls: crossover~100, mutation~70.0
               fitness_breakdown: ordering=0.158s | prefix=0.089s | score=0.009s | pop=100 

[Gen:030/100] Fitness(norm) : (best=100.0000, avg=1.9042, worst=0.0000) | Coverage(best)=90.49% (target=90.00%) | Numb of sensors : (min=22, avg=41.8, max=46) | BestSensors=22 (corner=8)
[Profile Gen 030] fitness=1.912s | selection=0.000s | repro=1.106s (crossover=0.178s, mutation=0.927s) | calls: crossover~100, mutation~70.0
               fitness_breakdown: ordering=0.161s | prefix=0.091s | score=0.009s | pop=100 

[Gen:031/100] Fitness(norm) : (best=100.0000, avg=1.9000, worst=0.0000) | Coverage(best)=90.49% (target=90.00%) | Numb of sensors : (min=22, avg=41.7, max=45) | BestSensors=22 (corner=8)
[Profile Gen 031] fitness=1.780s | selection=0.000s | repro=1.047s (crossover=0.187s, mutation=0.860s) | calls: crossover~100, mutation~70.0
               fitness_breakdown: ordering=0.161s | prefix=0.090s | score=0.009s | pop=100 

[Gen:032/100] Fitness(norm) : (best=100.0000, avg=2.8000, worst=0.0000) | Coverage(best)=90.04% (target=90.00%) | Numb of sensors : (min=23, avg=41.3, max=45) | BestSensors=23 (corner=8)
[Profile Gen 032] fitness=1.844s | selection=0.000s | repro=1.023s (crossover=0.203s, mutation=0.819s) | calls: crossover~100, mutation~70.0
               fitness_breakdown: ordering=0.152s | prefix=0.099s | score=0.009s | pop=100 

[Gen:033/100] Fitness(norm) : (best=100.0000, avg=1.9000, worst=0.0000) | Coverage(best)=90.04% (target=90.00%) | Numb of sensors : (min=23, avg=41.1, max=45) | BestSensors=23 (corner=8)
[Profile Gen 033] fitness=1.885s | selection=0.000s | repro=0.992s (crossover=0.230s, mutation=0.761s) | calls: crossover~100, mutation~70.0
               fitness_breakdown: ordering=0.151s | prefix=0.100s | score=0.009s | pop=100 

[Gen:034/100] Fitness(norm) : (best=100.0000, avg=1.9000, worst=0.0000) | Coverage(best)=90.04% (target=90.00%) | Numb of sensors : (min=23, avg=40.8, max=45) | BestSensors=23 (corner=8)
[Profile Gen 034] fitness=1.878s | selection=0.000s | repro=0.959s (crossover=0.199s, mutation=0.760s) | calls: crossover~100, mutation~70.0
               fitness_breakdown: ordering=0.153s | prefix=0.100s | score=0.009s | pop=100 

